Area Code,Area,Area URL
E15000001,North East,http://statistics.data.gov.uk/doc/statistical-geography/E15000001
E15000002,North West,http://statistics.data.gov.uk/doc/statistical-geography/E15000002
E15000003,Yorkshire and The Humber,http://statistics.data.gov.uk/doc/statistical-geography/E15000003
E15000004,East Midlands,http://statistics.data.gov.uk/doc/statistical-geography/E15000004
E15000005,West Midlands,http://statistics.data.gov.uk/doc/statistical-geography/E15000005
E15000006,Eastern,http://statistics.data.gov.uk/doc/statistical-geography/E15000006
E15000007,London,http://statistics.data.gov.uk/doc/statistical-geography/E15000007
E15000008,South East,http://statistics.data.gov.uk/doc/statistical-geography/E15000008
E15000009,South West,http://statistics.data.gov.uk/doc/statistical-geography/E15000009
N07000001,Northern Ireland,http://statistics.data.gov.uk/doc/statistical-geography/N07000001
S15000001,Scotland,http://statistics.data.gov.uk/doc/statistical-geography/S15000001
W08000001,Wales,http://statistics.data.gov.uk/doc/statistical-geography/W08000001
