Poll Date,Area,Area Code,Area URL,Party,Party ID,Votes,Ballots Rejected
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,4 Freedoms Party (UK EPP),PP 1952,"28,014",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,An Independence from Europe,PP 1918,"26,675",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,Animal Welfare Party,PP 616,"21,092",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,British National Party,PP 105,"19,246",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,Christian Peoples Alliance,PP 79,"23,702",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,Communities United Party,PP 844,"6,951",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,Conservative Party,PP 52,"495,639",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,English Democrats,PP 17,"10,142",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,Europeans Party,PP 2309,"10,712",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,Green Party,PP 63,"196,419",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,Harmony Party,PP 2313,"1,985",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,Labour Party,PP 53,"806,959",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,Liberal Democrats,PP 90,"148,013",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,National Health Action Party,PP 1931,"23,253",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,National Liberal Party – True Liberalism,PP 32,"6,736",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,NO2EU,PP 2164,"3,804",25207
2014-05-22,London,E15000007,http://statistics.data.gov.uk/doc/statistical-geography/E15000007,UK Independence Party (UKIP),PP 85,"371,133",25207
