Poll Date,Area,Area Code,Area URL,Party,Party ID,Votes,Ballots Rejected
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,An Independence from Europe,PP 1918,45199,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,British National Party,PP 105,16909,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Christian Peoples Alliance,PP 79,14893,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Conservative Party,PP 52,723571,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,English Democrats,PP 17,17771,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Green Party,PP 305,211706,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Harmony Party,PP 2313,1904,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Labour Party,PP 53,342775,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Liberal Democrats,PP 90,187876,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Liberty Great Britain,PP 2032,2494,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,"The Peace Party - Non-violence, Justice, Environment",PP 133,10130,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,The Roman Party.AVE,PP 2342,2997,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,The Socialist Party of Great Britain,PP 110,5454,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,UK Independence Party (UKIP),PP 85,751439,10118
2014-05-22,South East,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,YOURvoice,PP 2300,2932,10118
