Poll Date,Area,Area Code,Area URL,Party,Party ID,Votes,Ballots Rejected
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,An Independence from Europe,PP 1918,595,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,British National Party,PP 105,196,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Christian Peoples Alliance,PP 79,214,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Conservative Party,PP 52,13298,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,English Democrats,PP 17,263,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Green Party,PP 305,3352,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Harmony Party,PP 2313,30,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Labour Party,PP 53,3275,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Liberal Democrats,PP 90,3335,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,Liberty Great Britain,PP 2032,26,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,"The Peace Party - Non-violence, Justice, Environment",PP 133,235,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,The Roman Party.AVE,PP 2342,36,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,The Socialist Party of Great Britain,PP 110,71,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,UK Independence Party (UKIP),PP 85,12488,105
2014-05-22,Horsham,E15000008,http://statistics.data.gov.uk/doc/statistical-geography/E15000008,YOURvoice,PP 2300,42,105
