Poll Date,Area,Area Code,Area URL,Party,Party ID,Votes,Ballots Rejected
2014-05-26,Wales,W08000001,http://statistics.data.gov.uk/doc/statistical-geography/W08000001,Labour Party,PP 53,206332,1999
2014-05-26,Wales,W08000001,http://statistics.data.gov.uk/doc/statistical-geography/W08000001,UK Independence Party (UKIP),PP 85,201983,1999
2014-05-26,Wales,W08000001,http://statistics.data.gov.uk/doc/statistical-geography/W08000001,Conservative Party,PP 52,127742,1999
2014-05-26,Wales,W08000001,http://statistics.data.gov.uk/doc/statistical-geography/W08000001,Plaid Cymru - The Party of Wales,PP 77,111864,1999
2014-05-26,Wales,W08000001,http://statistics.data.gov.uk/doc/statistical-geography/W08000001,Green Party,PP 63,33275,1999
2014-05-26,Wales,W08000001,http://statistics.data.gov.uk/doc/statistical-geography/W08000001,Liberal Democrats,PP 90,28930,1999
2014-05-26,Wales,W08000001,http://statistics.data.gov.uk/doc/statistical-geography/W08000001,British National Party,PP 105,7655,1999
2014-05-26,Wales,W08000001,http://statistics.data.gov.uk/doc/statistical-geography/W08000001,Britain First,PP 2214,6633,1999
2014-05-26,Wales,W08000001,http://statistics.data.gov.uk/doc/statistical-geography/W08000001,Socialist Labour Party,PP 73,4459,1999
2014-05-26,Wales,W08000001,http://statistics.data.gov.uk/doc/statistical-geography/W08000001,NO2EU,PP 2164,2803,1999
2014-05-26,Wales,W08000001,http://statistics.data.gov.uk/doc/statistical-geography/W08000001,The Socialist Party of Great Britain,PP 110,1384,1999
